id,price,number_of_reviews,availability_365,room_type,neighbourhood,neighbourhood_group,accommodates,bedrooms,bathrooms,host_is_superhost,reviews_per_month,last_review,first_review,calculated_host_listings_count,latitude,longitude,minimum_nights,host_name,host_since,number_of_reviews_ltm,instant_bookable,host_response_rate,host_acceptance_rate,host_response_time
6499,84.0,76,252,Entire home/apt,Belm,Lisboa,3,1.0,1.0,False,0.62,2024-08-20,2014-09-02,1,38.6975,-9.19768,4,Bruno,2009-04-22,15,True,1.0,1.0,within an hour
25659,96.0,213,270,Entire home/apt,Santa Maria Maior,Lisboa,3,1.0,1.0,True,1.68,2024-09-13,2014-04-24,1,38.71241,-9.12706,2,Ellie,2010-04-12,19,True,1.0,1.0,within an hour
29396,78.0,401,295,Entire home/apt,Santa Maria Maior,Lisboa,4,1.0,1.0,False,2.67,2024-09-06,2012-05-22,1,38.71156,-9.12987,2,Mónica,2010-05-17,22,True,1.0,1.0,within an hour
29720,1032.0,133,263,Entire home/apt,Estrela,Lisboa,16,9.0,8.0,True,0.8,2024-09-01,2011-01-05,1,38.71108,-9.15979,2,Francisco,2010-05-19,24,False,0.77,0.53,within a few hours
42519,90.0,199,286,Entire home/apt,Misericrdia,Lisboa,2,1.0,1.0,False,1.26,2024-07-16,2011-10-12,7,38.71062,-9.149,1,David,2010-06-01,23,False,1.0,1.0,within an hour
48025,95.0,44,261,Entire home/apt,Misericrdia,Lisboa,2,1.0,1.5,False,0.27,2024-08-16,2011-07-18,8,38.71195,-9.14463,7,José,2010-08-31,11,False,1.0,0.85,within a few hours
50108,120.0,30,0,Entire home/apt,Estrela,Lisboa,4,1.0,2.0,True,0.19,2019-11-05,2011-12-13,2,38.70388,-9.16546,2,Pipas,2010-09-09,0,True,1.0,1.0,within an hour
76132,88.0,45,323,Entire home/apt,Campolide,Lisboa,2,1.0,1.0,False,0.61,2024-06-26,2018-08-14,8,38.72727,-9.16273,3,Augusto,2011-02-23,14,True,0.8,0.89,within an hour
83700,89.0,271,323,Entire home/apt,Cascais e Estoril,Cascais,4,0.0,1.0,True,1.66,2024-09-05,2011-04-19,1,38.70018,-9.43272,3,Claudio,2011-03-22,33,False,1.0,1.0,within an hour
83933,85.0,299,124,Entire home/apt,So Vicente,Lisboa,2,1.0,1.0,False,1.88,2024-09-03,2011-08-16,1,38.72092115283526,-9.128046411596074,2,Sebastien,2011-01-05,24,True,1.0,1.0,within an hour
84599,334.0,91,295,Entire home/apt,Santa Maria Maior,Lisboa,5,2.0,1.0,True,0.61,2024-07-04,2012-06-21,19,38.7106,-9.13689,1,Jose Luz,2010-07-27,8,True,1.0,1.0,within an hour
85105,65.0,53,164,Private room,Santa Maria Maior,Lisboa,2,2.0,1.0,True,2.77,2024-08-25,2023-02-18,1,38.71784,-9.13492,3,Mafalda,2011-03-25,25,False,0.67,0.98,within a day
89015,162.0,96,340,Entire home/apt,Misericrdia,Lisboa,4,2.0,1.0,True,0.6,2024-08-14,2011-08-23,1,38.71299,-9.15004,3,Justo,2011-04-05,23,True,1.0,0.98,within an hour
91282,100.0,13,209,Entire home/apt,Campo de Ourique,Lisboa,2,1.0,1.0,False,0.45,2024-06-30,2022-05-05,1,38.71879,-9.15853,15,Maria,2010-05-27,5,False,0.91,0.36,within an hour
95212,105.0,78,82,Entire home/apt,Misericrdia,Lisboa,6,3.0,1.0,False,0.53,2023-05-29,2012-07-17,1,38.70901,-9.15158,3,Kathia,2011-04-12,0,False,1.0,0.0,within a day
97503,55.0,42,100,Private room,Santo Antnio,Lisboa,1,1.0,2.0,False,0.26,2024-07-30,2011-07-14,13,38.72129,-9.1422,7,Joel,2011-04-17,1,False,1.0,0.7,within an hour
103252,119.0,167,309,Entire home/apt,So Vicente,Lisboa,4,1.0,1.0,False,1.68,2024-09-10,2016-07-09,10,38.71838,-9.129015,2,André & Cristina,2011-04-27,33,True,1.0,1.0,within an hour
107159,360.0,0,365,Private room,Estrela,Lisboa,4,1.0,0.0,False,0.0,0,0,1,38.70065,-9.17491,1,José,2011-05-03,0,False,0.9732574819401446,0.0,a few days or more
112497,171.0,40,262,Entire home/apt,Cascais e Estoril,Cascais,4,1.0,2.0,False,0.25,2024-08-09,2011-06-30,1,38.69744,-9.4391,4,Mateus,2011-05-10,8,False,1.0,0.93,within a few hours
119120,125.0,365,53,Entire home/apt,Estrela,Lisboa,4,2.0,1.0,True,2.29,2024-08-25,2011-08-08,4,38.70927,-9.16122,3,Nuno,2011-02-11,33,False,1.0,0.99,within an hour
122998,96.0,104,120,Entire home/apt,Misericrdia,Lisboa,2,1.0,1.0,True,0.65,2024-09-10,2011-07-05,1,38.7127,-9.15215,4,Rita,2011-05-23,23,True,1.0,1.0,within an hour
125848,69.0,156,323,Entire home/apt,So Vicente,Lisboa,2,1.0,1.0,False,1.04,2024-08-28,2012-05-06,6,38.71478,-9.1241,3,Isabelle,2011-05-25,15,False,1.0,0.91,within an hour
129786,111.0,3,303,Entire home/apt,Misericrdia,Lisboa,4,3.0,2.0,True,0.02,2011-08-30,2011-07-20,1,38.70853,-9.14613,30,Maria Do Carmo,2011-05-25,0,False,1.0,1.0,within an hour
130708,57.0,239,324,Private room,Arroios,Lisboa,2,1.0,1.0,True,1.5,2024-07-04,2011-08-05,2,38.71806,-9.13738,3,Jesse James,2011-05-30,17,False,1.0,0.75,within a few hours
133645,95.0,458,326,Entire home/apt,Santa Maria Maior,Lisboa,3,1.0,1.0,True,2.87,2024-09-13,2011-08-14,2,38.71091,-9.13251,2,Juan,2011-06-02,62,False,1.0,1.0,within an hour
135261,166.0,346,298,Entire home/apt,Misericrdia,Lisboa,4,2.0,1.0,True,2.16,2024-08-27,2011-07-13,2,38.71298,-9.14541,2,Leo,2011-06-04,54,True,1.0,1.0,within an hour
137054,95.0,363,327,Entire home/apt,Santa Maria Maior,Lisboa,3,1.0,1.0,True,2.31,2024-09-14,2011-10-25,2,38.71236,-9.13129,2,Juan,2011-06-02,51,True,1.0,1.0,within an hour
137461,95.0,21,319,Entire home/apt,Misericrdia,Lisboa,2,1.0,1.0,False,0.14,2024-08-15,2011-12-18,8,38.71413,-9.14425,5,José,2010-08-31,7,False,1.0,0.85,within a few hours
