AIRBNB_PT_cleaned
id;price;number_of_reviews;availability_365;room_type;neighbourhood;neighbourhood_group;accommodates;bedrooms;bathrooms;host_is_superhost;reviews_per_month;last_review;first_review;calculated_host_listings_count;latitude;longitude;minimum_nights;host_name;host_since;number_of_reviews_ltm;instant_bookable;host_response_rate;host_acceptance_rate;host_response_time
41339;56.0;25;4;Entire home/apt;Lordelo do Ouro e Massarelos;PORTO;5;1.0;1.0;False;0.18;2024-08-16;2013-05-15;1;41.1501;-8.66035;7;Paula;2010-07-25;3;False;1.0;1.0;within an hour
87873;100.0;248;311;Entire home/apt;Bonfim;PORTO;4;2.0;1.5;True;1.65;2024-08-31;2012-05-14;4;41.15786;-8.60427;3;Paula;2011-04-03;11;False;1.0;0.98;within an hour
94701;77.0;302;337;Entire home/apt;Bonfim;PORTO;3;1.0;1.0;False;1.86;2024-08-28;2011-05-10;1;41.14707;-8.60109;3;Gundega & Antonio;2011-04-13;13;False;1.0;0.96;within an hour
96394;214.0;11;364;Entire home/apt;Canidelo;VILA NOVA DE GAIA;4;2.0;2.0;False;0.11;2023-09-25;2016-08-20;1;41.14296;-8.65203;1;Manuel;2011-04-15;1;False;1.0;0.5;within a few hours
104045;126.0;306;353;Entire home/apt;Bonfim;PORTO;8;5.0;3.0;True;1.91;2024-07-27;2011-07-25;1;41.1605;-8.59871;3;Aida;2011-04-28;12;True;1.0;1.0;within a day
105347;76.0;162;284;Entire home/apt;Oliveira do Douro;VILA NOVA DE GAIA;4;2.0;1.0;True;1.18;2024-09-08;2013-06-07;1;41.12945;-8.58562;4;Manuel;2011-04-29;15;False;1.0;0.9;within an hour
108153;70.0;15;365;Private room;Anta e Guetim;ESPINHO;2;4.0;1.0;True;0.15;2024-08-26;2016-09-27;2;40.99903;-8.61693;2;Armando;2011-05-05;2;False;1.0;0.68;within a few hours
125872;68.0;241;315;Private room;Mafamude e Vilar do Paraíso;VILA NOVA DE GAIA;2;1.0;1.0;False;1.49;2022-09-25;2011-06-19;2;41.12535;-8.6142;2;Manuel & Family;2011-05-25;0;False;0.9822600619195048;0.46;a few days or more
127208;38.0;555;205;Private room;Campanhã;PORTO;4;1.0;1.5;True;3.54;2024-09-07;2011-10-29;1;41.1546;-8.58985;2;Aurora;2011-05-26;35;True;1.0;1.0;within an hour
128557;36.0;518;0;Private room;Mafamude e Vilar do Paraíso;VILA NOVA DE GAIA;2;1.0;1.0;False;3.21;2023-10-29;2011-06-22;2;41.12485;-8.6139;2;Manuel & Family;2011-05-25;3;True;0.9822600619195048;0.46;a few days or more
139425;82.0;264;326;Entire home/apt;Bonfim;PORTO;4;1.0;1.0;False;1.64;2024-08-26;2011-07-06;10;41.14622;-8.59423;2;Liana;2011-06-08;21;True;0.88;1.0;within an hour
155127;85.0;153;354;Entire home/apt;Gondomar (São Cosme), Valbom e Jovim;GONDOMAR;8;3.0;2.5;True;1.01;2024-08-31;2012-04-10;1;41.1238;-8.54264;2;André;2011-06-26;24;False;1.0;1.0;within a few hours
169321;194.0;212;165;Entire home/apt;Bonfim;PORTO;6;2.0;2.0;True;1.36;2024-08-13;2011-11-20;4;41.14536;-8.59792;3;Miguel;2011-07-11;16;True;1.0;1.0;within an hour
186655;75.0;255;79;Entire home/apt;Lordelo do Ouro e Massarelos;PORTO;6;3.0;1.0;False;1.61;2024-09-01;2011-08-30;1;41.15215;-8.65248;3;Helena;2011-07-31;18;False;1.0;0.89;within a few hours
186946;126.0;389;289;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;2;1.0;1.0;True;2.46;2024-08-31;2011-09-21;2;41.14087;-8.61703;2;Isabel;2011-07-31;40;True;1.0;1.0;within an hour
191005;130.0;153;222;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;2.0;2.0;False;1.03;2024-08-11;2012-07-12;2;41.15328;-8.60758;3;Carlos;2011-08-04;17;True;1.0;1.0;within an hour
208147;40.0;58;98;Private room;Fornelo e Vairão;VILA DO CONDE;2;1.0;1.0;True;0.52;2024-08-24;2015-07-03;1;41.326347;-8.660382;4;David;2011-08-26;5;True;1.0;1.0;within an hour
241573;173.0;224;309;Entire home/apt;Bonfim;PORTO;5;2.0;1.0;False;1.43;2024-02-04;2011-11-02;18;41.14776;-8.60194;2;Lovely;2011-10-09;4;True;1.0;1.0;within an hour
241574;94.0;346;300;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;2;1.0;1.0;False;2.22;2023-06-30;2011-11-20;18;41.14645;-8.60293;2;Lovely;2011-10-09;0;True;1.0;1.0;within an hour
241743;87.0;162;302;Entire home/apt;Bonfim;PORTO;3;1.0;1.0;False;1.05;2024-08-22;2012-01-04;18;41.14661;-8.60188;2;Lovely;2011-10-09;3;True;1.0;1.0;within an hour
248537;85.0;358;307;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;0.0;False;2.32;2024-09-08;2012-01-04;1;41.14738;-8.61876;3;Maria De Lurdes;2011-10-17;40;True;1.0;1.0;within an hour
264087;122.0;392;149;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;3;1.0;1.0;True;2.55;2024-08-29;2012-01-30;2;41.15059;-8.622;3;Salomé;2011-11-08;42;False;1.0;1.0;within an hour
265819;99.0;113;265;Entire home/apt;Ramalde;PORTO;4;1.0;1.0;False;0.74;2024-08-29;2012-03-05;1;41.16201;-8.63315;2;Amália;2011-04-13;10;True;1.0;0.91;within an hour
266970;67.0;41;26;Entire home/apt;Avintes;VILA NOVA DE GAIA;3;2.0;1.0;False;0.31;2024-08-23;2013-10-28;2;41.11945;-8.54857;7;Teresa E Pedro / Teresa Und Pedro;2011-11-12;1;True;1.0;1.0;within an hour
270094;55.0;79;191;Entire home/apt;Ramalde;PORTO;2;1.0;1.0;True;0.53;2024-08-20;2012-06-12;1;41.1608;-8.63532;3;Chris;2011-11-06;12;False;1.0;1.0;within an hour
270965;52.0;165;353;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;2;1.0;1.0;False;1.11;2024-08-25;2012-06-12;1;41.15676;-8.60897;3;Júlia;2011-11-17;12;True;1.0;1.0;within an hour
273345;99.0;284;301;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;1.0;False;1.9;2024-05-01;2012-06-13;18;41.14664;-8.60389;2;Lovely;2011-10-09;7;True;1.0;1.0;within an hour
278886;99.0;291;306;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;1.0;False;2.23;2023-11-19;2013-12-24;18;41.14653;-8.6023;2;Lovely;2011-10-09;3;True;1.0;1.0;within an hour
317546;152.0;203;26;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;2.0;1.0;True;1.35;2024-08-14;2012-05-18;14;41.14243;-8.61849;1;Ox;2012-01-20;28;True;0.97;1.0;within an hour
322277;175.0;33;365;Entire home/apt;Alvarenga;AROUCA;6;3.0;2.0;False;0.24;2024-08-25;2013-07-19;1;40.96909;-8.16228;7;Sandra;2012-01-25;4;False;1.0;0.8;within a day
322467;69.0;537;351;Private room;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;1.0;False;3.8;2024-09-06;2013-01-31;5;41.15466;-8.61585;2;Lurdes;2012-01-25;34;True;1.0;1.0;within an hour
366590;101.0;39;21;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;3;1.0;1.0;True;0.26;2024-08-28;2012-04-06;14;41.14386;-8.61667;1;Ox;2012-01-20;5;True;0.97;1.0;within an hour
383641;69.0;516;354;Private room;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;1.0;False;3.5;2024-09-05;2012-08-08;5;41.15466;-8.61585;2;Lurdes;2012-01-25;22;True;1.0;1.0;within an hour
393987;78.0;452;180;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;5;2.0;1.0;True;3.05;2024-09-01;2012-07-16;1;41.14236;-8.60503;2;Luis;2012-03-19;63;False;1.0;0.95;within an hour
399584;180.0;125;362;Entire home/apt;São Pedro Fins;MAIA;7;3.0;2.5;False;0.85;2021-08-31;2012-07-24;1;41.25363;-8.54319;7;Elisa;2012-03-23;0;False;0.9822600619195048;0.0;a few days or more
403114;124.0;189;239;Entire home/apt;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;PORTO;4;1.0;1.0;True;1.27;2024-08-09;2012-06-16;13;41.1407321577949;-8.614698318667635;2;Diana;2012-03-26;30;True;1.0;1.0;within an hour
404688;175.0;94;244;Entire home/apt;Melres e Medas;GONDOMAR;9;4.0;4.0;False;0.69;2024-08-07;2013-07-15;1;41.07395;-8.41239;3;António Luís;2012-03-27;4;False;1.0;0.88;within a day
411572;67.0;9;364;Entire home/apt;São Félix da Marinha;VILA NOVA DE GAIA;4;0.0;1.0;False;0.36;2024-08-22;2022-08-24;1;41.03955;-8.64094;2;Maria;2012-04-01;2;False;1.0;1.0;within a day
